                       OLS Regression Results                       
Dep. Variable:   ,price           ,  R-squared:         ,   0.613   
Model:           ,OLS             ,  Adj. R-squared:    ,   0.613   
Method:          ,Least Squares   ,  F-statistic:       ,   3759.   
Date:            ,Thu, 23 Apr 2020,  Prob (F-statistic):,  0.00     
Time:            ,21:15:19        ,  Log-Likelihood:    ,-7.3021e+05
No. Observations:,142259          ,  AIC:               ,1.461e+06  
Df Residuals:    ,142198          ,  BIC:               ,1.461e+06  
Df Model:        ,    60          ,                     ,           
Covariance Type: ,nonrobust       ,                     ,           
                                            ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
host_response_rate                          ,    0.0382,    0.013,    2.952, 0.003,    0.013,    0.063
host_is_superhost                           ,    4.6277,    0.257,   17.991, 0.000,    4.124,    5.132
host_total_listings_count                   ,    0.0204,    0.004,    5.244, 0.000,    0.013,    0.028
calculated_host_listings_count              ,    0.6551,    0.247,    2.654, 0.008,    0.171,    1.139
calculated_host_listings_count_entire_homes ,   -0.7470,    0.247,   -3.021, 0.003,   -1.232,   -0.262
calculated_host_listings_count_private_rooms,   -0.7782,    0.249,   -3.127, 0.002,   -1.266,   -0.290
calculated_host_listings_count_shared_rooms ,   -2.3162,    0.286,   -8.112, 0.000,   -2.876,   -1.757
bathrooms                                   ,    8.0469,    0.308,   26.096, 0.000,    7.443,    8.651
bedrooms                                    ,   16.0593,    0.207,   77.602, 0.000,   15.654,   16.465
beds                                        ,    3.2331,    0.137,   23.549, 0.000,    2.964,    3.502
amenities_count                             ,    0.2098,    0.012,   17.128, 0.000,    0.186,    0.234
is_wifi                                     ,   -3.3118,    1.190,   -2.784, 0.005,   -5.644,   -0.980
is_heating                                  ,   -2.1293,    0.727,   -2.929, 0.003,   -3.554,   -0.704
is_aircon                                   ,    6.7679,    0.389,   17.401, 0.000,    6.006,    7.530
security_deposit                            ,    0.0018,    0.000,    6.607, 0.000,    0.001,    0.002
cleaning_fee                                ,    0.1341,    0.003,   47.237, 0.000,    0.129,    0.140
price_for_extra_people                      ,    0.0370,    0.004,    8.243, 0.000,    0.028,    0.046
guests_included                             ,    8.0206,    0.120,   66.673, 0.000,    7.785,    8.256
minimum_nights                              ,   -0.4131,    0.007,  -57.455, 0.000,   -0.427,   -0.399
has_availability                            ,  -29.9606,    2.405,  -12.457, 0.000,  -34.675,  -25.246
availability_30                             ,    0.3793,    0.019,   19.876, 0.000,    0.342,    0.417
availability_90                             ,    0.0262,    0.007,    3.768, 0.000,    0.013,    0.040
availability_365                            ,    0.0072,    0.001,    6.625, 0.000,    0.005,    0.009
is_instant_bookable                         ,    1.5178,    0.252,    6.031, 0.000,    1.025,    2.011
is_business_travel_ready                    , 1.344e-13,  1.8e-14,    7.468, 0.000, 9.91e-14,  1.7e-13
number_of_reviews                           ,   -0.0121,    0.003,   -4.421, 0.000,   -0.017,   -0.007
reviews_per_month                           ,   -0.4310,    0.117,   -3.690, 0.000,   -0.660,   -0.202
number_of_reviews_ltm                       ,   -0.1563,    0.012,  -13.007, 0.000,   -0.180,   -0.133
review_scores_rating                        ,    0.7835,    0.033,   23.620, 0.000,    0.719,    0.849
review_scores_accuracy                      ,   -0.7722,    0.254,   -3.034, 0.002,   -1.271,   -0.273
review_scores_cleanliness                   ,    3.1806,    0.186,   17.136, 0.000,    2.817,    3.544
review_scores_checkin                       ,   -2.3128,    0.265,   -8.727, 0.000,   -2.832,   -1.793
